"variable","label","class"
"study_id_1",NA,"character"
"data_access_group",NA,"character"
"age_at_time_of_surgery_months_ye","age_at_time_of_surgery_months_years","character"
"gender_of_the_patient",NA,"character"
"patients_weight_kg",NA,"character"
"patients_height_in_meters",NA,"character"
"hb_level_g_d_l_immediate_before","hb_level_g_d_l_immediate_before_surgery","character"
"facilities_visited_prior","number_of_facilities_visited_prior_the_current_where_surgery_is_taking_place","character"
"date_of_surgery",NA,"character"
"mode_of_surgical_payment",NA,"character"
"age_group",NA,"character"
"type_of_surgery_adults",NA,"character"
"type_of_surgery_performed_adult",NA,"character"
"types_of_surgery_paediatrics",NA,"character"
"type_of_surgery_performed_paedia","type_of_surgery_performed_paediatrics","character"
"did_the_patient_have_any_of_thes","did_the_patient_have_any_of_these_preoperative_chronic_comorbid_conditions_check","character"
"urgency_of_operation",NA,"character"
"asa_physical_status_score",NA,"character"
"was_prophylactic_antibiotics_giv","was_prophylactic_antibiotics_given_pre_operative","character"
"please_approximate_the_timing_of","please_approximate_the_timing_of_prophylactic_antibiotics_administration","character"
"preoperative_fasting",NA,"character"
"senior_surgeon","what_was_the_level_of_the_most_senior_surgeon_who_participated_in_procedure","character"
"senior_anaesthiologist","what_was_the_level_of_the_most_senior_anaesthesia_provider_for_this_procedure_in","character"
"surgical_field_preparation","was_the_surgical_field_preparation_done_according_to_local_standards","character"
"anaesthesia_type_used_select_all","anaesthesia_type_used_select_all_that_apply","character"
"were_minimal_invasive_procedures","were_minimal_invasive_procedures_e_g_laparoscopy_used_for_this_operation","character"
"what_was_the_class_of_the_wound",NA,"character"
"was_intraoperative_antibiotics_p","was_intraoperative_antibiotics_provided","character"
"was_the_patient_given_intra_oper","was_the_patient_given_intra_operative_blood_transfusion","character"
"indication_for_the_surgical_proc","indication_for_the_surgical_procedure","character"
"trauma_injuries_and_orthopedic",NA,"character"
"acute_abdominal_conditions",NA,"character"
"cancers_and_tumors",NA,"character"
"urological_conditions",NA,"character"
"thoracic_conditions",NA,"character"
"neurosurgery",NA,"character"
"neonatal_and_infant_conditions",NA,"character"
"what_was_the_patients_dispositio","what_was_the_patients_disposition_after_surgery","character"
"did_the_patient_require_nasogast","did_the_patient_require_nasogastric_tube_decompression","character"
"post_operative_complications_cla","post_operative_complications_claiven_dindo_classification","character"
"complication_severity_grading",NA,"character"
"did_the_patient_develop_post_ope","did_the_patient_develop_post_operative_surgical_site_infection","character"
"if_yes_which_type_of_ssi",NA,"character"
"was_the_patient_alive_at_30_days",NA,"character"
"cause_of_death_107",NA,"character"
"v109","did_the_patient_require_re_operation_or_return_to_theatre_within_30_days_of_inde","character"
"self_care_activities_bathing_sho","self_care_activities_bathing_showering_dressing_using_the_toilet_managing_hygien","character"
"mobility_activities_getting_in_a","mobility_activities_getting_in_and_out_of_bed_walking_inside_outside_home_using_","character"
"household_management_activities","household_management_activities_preparing_meals_cleaning_laundry_shopping","character"
"social_and_leisure_activities_pa","social_and_leisure_activities_participating_in_social_activities_leisure_activit","character"
